                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5235,                 1.1355,                 1.4222,                0.39435,                0.39666,                0.32317,                0.12773,                 2.0918,                 1.7212,                 1.8296,               0.008911,               0.008911,               0.008911
                     35,                 1.5227,                 1.1603,                 1.4231,                0.43921,                0.35564,                0.31691,                0.13009,                 2.1216,                 1.7846,                 1.9014,               0.008878,               0.008878,               0.008878
                     36,                 1.5124,                 1.1302,                 1.4054,                0.41063,                0.37856,                0.32019,                0.12646,                 2.1731,                 1.7876,                 1.9174,               0.008845,               0.008845,               0.008845
                     37,                  1.504,                 1.0957,                 1.4013,                0.48117,                0.38028,                0.34675,                0.14226,                  2.122,                   1.69,                 1.8939,               0.008812,               0.008812,               0.008812
                     38,                 1.4899,                 1.0955,                 1.3981,                0.38381,                0.40633,                0.31814,                 0.1242,                 2.1854,                 1.7372,                 1.9505,               0.008779,               0.008779,               0.008779
                     39,                 1.4885,                 1.0802,                 1.3879,                0.46902,                0.36712,                 0.3263,                0.12397,                 2.1439,                 1.7226,                 1.8889,               0.008746,               0.008746,               0.008746
                     40,                 1.4768,                   1.07,                 1.3802,                 0.3719,                0.38496,                0.31639,                0.12298,                 2.1733,                 1.7554,                 1.9178,               0.008713,               0.008713,               0.008713
                     41,                 1.4631,                 1.0413,                 1.3748,                0.41844,                0.40253,                0.31936,                0.12547,                 2.1463,                 1.7844,                 1.9172,                0.00868,                0.00868,                0.00868
                     42,                 1.4627,                 1.0449,                 1.3695,                0.44255,                0.37785,                0.33511,                0.13408,                 2.1286,                 1.7329,                 1.8968,               0.008647,               0.008647,               0.008647
                     43,                 1.4465,                 1.0153,                 1.3606,                0.44668,                0.38378,                0.32584,                0.13021,                 2.1895,                 1.7539,                 1.9689,               0.008614,               0.008614,               0.008614
                     44,                 1.4469,                 1.0037,                 1.3602,                0.45023,                0.37823,                0.33157,                0.13173,                 2.1762,                 1.7414,                 1.9565,               0.008581,               0.008581,               0.008581
                     45,                 1.4208,                 1.0054,                 1.3612,                0.42239,                0.35281,                0.30941,                0.12189,                 2.2124,                  1.835,                  2.001,               0.008548,               0.008548,               0.008548
                     46,                 1.4137,                0.98476,                  1.334,                0.41194,                0.35277,                0.31164,                  0.123,                 2.2903,                 1.7506,                 2.0179,               0.008515,               0.008515,               0.008515
                     47,                 1.4173,                0.98762,                 1.3416,                0.39039,                0.38364,                0.30194,                0.11989,                 2.1922,                 1.8194,                 1.9599,               0.008482,               0.008482,               0.008482
                     48,                 1.3969,                0.96943,                 1.3275,                0.41465,                0.39077,                0.31458,                0.12465,                 2.2336,                 1.7838,                 1.9687,               0.008449,               0.008449,               0.008449
                     49,                 1.3878,                0.94746,                  1.316,                0.41642,                0.37271,                0.31613,                0.12411,                 2.2246,                  1.771,                 1.9565,               0.008416,               0.008416,               0.008416
                     50,                 1.3737,                0.94048,                 1.3118,                0.43207,                0.38523,                0.31766,                0.12958,                 2.2292,                 1.7316,                 2.0332,               0.008383,               0.008383,               0.008383
                     51,                 1.3744,                 0.9417,                 1.3153,                0.41217,                0.36568,                0.30882,                 0.1261,                 2.2205,                 1.7891,                 2.0034,                0.00835,                0.00835,                0.00835
                     52,                 1.3618,                0.92619,                 1.3067,                0.41149,                0.40456,                0.32099,                 0.1288,                 2.2266,                 1.7654,                  2.017,               0.008317,               0.008317,               0.008317
                     53,                 1.3571,                 0.9003,                 1.2985,                0.43159,                0.37488,                0.31848,                0.12758,                 2.2364,                 1.7844,                  2.002,               0.008284,               0.008284,               0.008284
                     54,                 1.3522,                0.90172,                 1.2938,                0.40298,                0.41075,                0.32446,                0.13428,                 2.1982,                 1.7909,                 1.9538,               0.008251,               0.008251,               0.008251
                     55,                 1.3425,                0.89998,                 1.2912,                0.39833,                0.39329,                0.31704,                0.13193,                 2.1867,                  1.785,                 1.9973,               0.008218,               0.008218,               0.008218
                     56,                 1.3487,                0.89682,                 1.2892,                0.43426,                0.36896,                0.31573,                0.12685,                 2.2969,                 1.7815,                 2.0465,               0.008185,               0.008185,               0.008185
                     57,                 1.3309,                0.89032,                 1.2864,                0.41009,                0.38185,                0.30695,                0.12163,                 2.2819,                 1.7575,                 2.0777,               0.008152,               0.008152,               0.008152
                     58,                  1.328,                0.88096,                 1.2813,                0.42687,                0.35574,                0.30791,                0.12147,                 2.2687,                 1.8399,                 2.0514,               0.008119,               0.008119,               0.008119
                     59,                 1.3017,                0.84604,                 1.2647,                0.46548,                0.37932,                  0.319,                0.12964,                 2.2099,                 1.7963,                  2.013,               0.008086,               0.008086,               0.008086
                     60,                 1.3159,                0.85761,                 1.2744,                0.42392,                0.38802,                 0.3209,                0.13042,                 2.2187,                 1.7933,                 2.0202,               0.008053,               0.008053,               0.008053
                     61,                 1.2947,                 0.8488,                 1.2605,                0.42737,                0.39372,                0.31159,                0.12111,                 2.2768,                 1.7541,                 2.0463,                0.00802,                0.00802,                0.00802
                     62,                 1.2943,                0.83819,                 1.2604,                0.41926,                0.37964,                0.29528,                0.11623,                  2.261,                  1.806,                 2.0355,               0.007987,               0.007987,               0.007987
                     63,                  1.289,                0.83606,                 1.2522,                0.41967,                0.37119,                0.30733,                0.12464,                 2.3145,                 1.8412,                 2.0837,               0.007954,               0.007954,               0.007954
                     64,                 1.2789,                0.82752,                   1.25,                0.41676,                0.41591,                0.31822,                0.12588,                 2.2703,                 1.7491,                 2.0724,               0.007921,               0.007921,               0.007921
                     65,                 1.2852,                0.81517,                  1.257,                0.40172,                0.38523,                 0.3016,                0.11654,                 2.2679,                 1.7831,                 2.0646,               0.007888,               0.007888,               0.007888
