                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0621,                 2.1504,                 1.8304,                0.16841,                0.24256,                0.13106,                0.04786,                 2.4958,                 2.8895,                 2.1701,             0.00055238,             0.00055238,             0.00055238
                      1,                 2.0468,                 1.9489,                 1.8223,                0.30742,                 0.2766,                0.20637,                0.06652,                 2.4276,                 2.5947,                 2.2007,              0.0010861,              0.0010861,              0.0010861
                      2,                 2.0398,                 1.9423,                 1.8037,                0.25023,                0.26262,                 0.1867,                0.06575,                 2.4248,                 2.3947,                 2.1125,              0.0015978,              0.0015978,              0.0015978
                      3,                 2.0364,                 1.9299,                 1.7935,                0.25434,                0.26555,                0.18651,                0.06037,                 2.3921,                 2.3768,                 2.0126,               0.001568,               0.001568,               0.001568
                      4,                  1.981,                 1.8696,                 1.7482,                 0.2486,                0.33731,                0.20529,                0.07273,                 2.2626,                 2.3315,                 1.9918,               0.001568,               0.001568,               0.001568
                      5,                 1.9408,                 1.8391,                 1.7286,                0.35617,                0.30221,                0.24821,                0.08883,                  2.214,                 2.1517,                  1.943,               0.001535,               0.001535,               0.001535
                      6,                 1.9084,                 1.8101,                 1.7014,                  0.278,                0.33364,                0.22973,                0.08078,                 2.2296,                 2.0371,                 1.9421,               0.001502,               0.001502,               0.001502
                      7,                 1.9091,                 1.7956,                 1.7027,                0.35486,                0.31456,                0.25708,                0.10038,                 2.1619,                 2.0155,                 1.8388,               0.001469,               0.001469,               0.001469
                      8,                 1.8793,                 1.7564,                 1.6802,                 0.3486,                0.33647,                0.28262,                0.09874,                 2.2245,                 1.9416,                 1.9517,               0.001436,               0.001436,               0.001436
                      9,                 1.8721,                 1.7315,                 1.6693,                0.33416,                0.32959,                0.26758,                0.10089,                 2.1221,                 1.9905,                 1.8719,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.8476,                 1.7249,                  1.655,                0.35758,                0.36168,                0.30209,                0.12274,                   2.03,                 1.8589,                 1.7676,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.8259,                  1.701,                 1.6424,                0.30137,                0.37781,                0.27493,                0.10598,                 2.1107,                 1.8912,                 1.8262,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.8237,                 1.6822,                 1.6388,                0.30863,                0.36045,                  0.285,                0.10925,                 2.1092,                 1.8828,                 1.8326,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.8072,                 1.6715,                 1.6333,                0.36413,                0.38238,                 0.2943,                0.11606,                   2.03,                 1.9406,                 1.8259,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.7957,                 1.6476,                 1.6273,                0.38514,                0.38211,                 0.3081,                0.12158,                 2.0489,                 1.8545,                 1.7894,              0.0012379,              0.0012379,              0.0012379
