                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0179,                 2.0122,                 1.7249,                0.28937,                0.22794,                 0.1839,                0.05674,                 2.6422,                 2.8396,                 2.3243,             0.00055434,             0.00055434,             0.00055434
                      1,                 1.9699,                  1.826,                 1.6934,                 0.3341,                0.32271,                0.26458,                0.10359,                 2.2773,                  2.264,                 1.9336,             0.00074371,             0.00074371,             0.00074371
                      2,                 1.8728,                 1.6549,                 1.6122,                0.47869,                0.35948,                0.33148,                0.13119,                 2.2294,                 1.8384,                 1.8295,             0.00056633,             0.00056633,             0.00056633
