                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1246,                 2.1488,                 1.9417,                0.01033,                0.11548,                0.00564,                0.00254,                    nan,                    nan,                    nan,             0.00055238,             0.00055238,             0.00055238
                      2,                 2.1166,                 2.0397,                 1.9111,                0.01029,                 0.3666,                0.00737,                0.00257,                    nan,                    nan,                    nan,              0.0010861,              0.0010861,              0.0010861
                      3,                 2.1048,                 2.0455,                 1.8897,                0.19187,                0.27823,                0.14124,                0.04779,                 2.4082,                 2.7896,                 2.1345,              0.0015978,              0.0015978,              0.0015978
                      4,                 2.0241,                 1.9614,                 1.8407,                0.23039,                0.27332,                0.17387,                0.05792,                 2.4008,                 2.6019,                 2.0987,               0.001568,               0.001568,               0.001568
                      5,                 2.0196,                 1.9348,                 1.8182,                 0.3016,                0.26649,                0.20924,                0.07162,                 2.3871,                 2.2196,                 2.0308,               0.001568,               0.001568,               0.001568
                      6,                 1.9697,                 1.8808,                 1.7986,                0.29695,                0.28928,                 0.2046,                0.06587,                 2.3445,                 2.1732,                 2.0792,               0.001535,               0.001535,               0.001535
                      7,                 1.9403,                 1.8394,                 1.7522,                0.25972,                0.28354,                0.19294,                0.06968,                 2.2808,                  2.174,                 1.9822,               0.001502,               0.001502,               0.001502
                      8,                 1.9091,                 1.8187,                 1.7413,                0.35461,                0.32564,                0.26698,                0.09116,                 2.2307,                 2.1557,                 1.9737,               0.001469,               0.001469,               0.001469
                      9,                 1.8847,                 1.7877,                 1.7184,                0.33064,                0.33205,                0.24679,                0.08914,                 2.2428,                 2.1368,                 1.9291,               0.001436,               0.001436,               0.001436
                     10,                 1.8862,                 1.7773,                 1.7061,                0.33747,                 0.3186,                0.26325,                 0.0995,                 2.1397,                  2.132,                 1.8832,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.8574,                 1.7517,                 1.6993,                0.33826,                0.36567,                0.26965,                0.09971,                 2.1566,                 2.0509,                 1.8969,              0.0013699,              0.0013699,              0.0013699
                     12,                  1.856,                 1.7295,                 1.6891,                0.32887,                0.32153,                0.25091,                0.09512,                 2.1518,                 2.0263,                 1.8784,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.8347,                 1.7223,                 1.6782,                0.30716,                 0.3385,                0.26965,                0.10196,                 2.1548,                 1.9707,                 1.8568,              0.0013039,              0.0013039,              0.0013039
                     14,                  1.814,                 1.7014,                 1.6559,                0.28673,                0.33177,                0.24066,                0.09058,                 2.1279,                 2.0722,                 1.8591,              0.0012709,              0.0012709,              0.0012709
                     15,                  1.811,                 1.6868,                 1.6637,                0.30394,                 0.3592,                 0.2823,                0.10191,                  2.107,                  1.964,                 1.8589,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.8086,                 1.6854,                 1.6684,                0.34821,                0.34516,                0.28762,                0.10885,                 2.1185,                 1.9675,                  1.869,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.7919,                 1.6626,                  1.645,                 0.3498,                 0.3725,                0.27699,                0.10163,                 2.1514,                 1.9427,                 1.9264,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.7791,                  1.648,                 1.6378,                0.32452,                0.36225,                0.27145,                0.10274,                 2.1298,                 2.0359,                 1.8724,              0.0011389,              0.0011389,              0.0011389
                     19,                 1.7665,                 1.6094,                   1.63,                0.34605,                0.35276,                0.28093,                0.10651,                 2.1498,                 1.9565,                 1.8965,              0.0011059,              0.0011059,              0.0011059
                     20,                 1.7629,                 1.6117,                 1.6282,                0.28096,                0.39276,                0.25233,                0.09669,                 2.1689,                 1.9993,                 1.8946,              0.0010729,              0.0010729,              0.0010729
                     21,                 1.7508,                 1.5981,                 1.6134,                0.33199,                0.34783,                0.28697,                0.11582,                 2.0435,                 1.8889,                 1.8311,              0.0010399,              0.0010399,              0.0010399
                     22,                 1.7354,                 1.5595,                 1.6101,                0.35647,                0.38034,                 0.2918,                0.11386,                 2.0909,                 1.8625,                 1.8454,              0.0010069,              0.0010069,              0.0010069
                     23,                 1.7339,                 1.5676,                 1.6103,                0.32918,                0.34233,                0.28822,                0.10638,                 2.1387,                 1.9282,                 1.9028,             0.00097386,             0.00097386,             0.00097386
                     24,                 1.7046,                 1.5319,                 1.5939,                0.34105,                0.39498,                 0.2883,                 0.1086,                 2.1359,                 1.8651,                 1.8973,             0.00094085,             0.00094085,             0.00094085
                     25,                 1.6931,                 1.5182,                 1.5748,                0.32435,                 0.3682,                0.28542,                0.11526,                  2.064,                 1.8789,                 1.8504,             0.00090785,             0.00090785,             0.00090785
                     26,                 1.6795,                 1.4988,                 1.5777,                0.30448,                0.38898,                0.27554,                0.10959,                 2.1174,                 1.8994,                 1.8707,             0.00087484,             0.00087484,             0.00087484
                     27,                 1.6908,                 1.4963,                 1.5777,                0.31202,                0.37237,                0.24953,                0.09478,                 2.1715,                 1.9672,                 1.9204,             0.00084184,             0.00084184,             0.00084184
                     28,                 1.6629,                 1.4742,                 1.5629,                0.30977,                0.37757,                0.29326,                0.11755,                 2.0707,                 1.8857,                 1.8387,             0.00080883,             0.00080883,             0.00080883
                     29,                  1.672,                 1.4519,                 1.5733,                0.33971,                0.36978,                0.29933,                0.11899,                 2.0443,                 1.8695,                 1.8344,             0.00077582,             0.00077582,             0.00077582
                     30,                 1.6452,                  1.429,                 1.5565,                0.33995,                0.33898,                0.26781,                0.10335,                 2.1439,                 1.9378,                 1.9368,             0.00074282,             0.00074282,             0.00074282
                     31,                 1.6477,                  1.421,                 1.5624,                0.31609,                0.37587,                0.27552,                0.10207,                 2.1299,                 1.9429,                 1.9035,             0.00070981,             0.00070981,             0.00070981
                     32,                 1.6342,                 1.4058,                 1.5425,                0.28224,                0.35643,                0.24946,                0.09577,                 2.1997,                 1.9976,                 1.9316,              0.0006768,              0.0006768,              0.0006768
                     33,                 1.6007,                 1.3663,                 1.5172,                0.32089,                 0.3971,                0.28174,                0.10833,                 2.0904,                 1.8595,                 1.8798,              0.0006438,              0.0006438,              0.0006438
                     34,                 1.6087,                 1.3615,                 1.5328,                0.29622,                0.30099,                0.22748,                0.08374,                 2.3832,                 2.0642,                 2.0842,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.5849,                 1.3218,                 1.5013,                0.32366,                0.36656,                0.26848,                0.10301,                 2.2119,                 1.9047,                 1.9568,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.5857,                 1.3122,                 1.5146,                 0.2917,                 0.3663,                0.25423,                0.09736,                 2.2232,                 2.0139,                 2.0002,             0.00054478,             0.00054478,             0.00054478
                     37,                   1.55,                 1.2692,                 1.4907,                 0.3299,                0.36491,                0.26055,                 0.1031,                 2.1576,                 1.9253,                 1.9436,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.5418,                 1.2647,                 1.4889,                0.36793,                0.37083,                 0.2927,                0.11285,                 2.1795,                 1.8749,                 1.9782,             0.00047876,             0.00047876,             0.00047876
                     39,                   1.54,                  1.242,                 1.4743,                0.34786,                0.36503,                0.28141,                0.10835,                 2.1818,                 1.8999,                 2.0138,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.5167,                   1.21,                 1.4642,                0.33271,                0.37089,                0.26418,                0.10401,                 2.1844,                  1.921,                 1.9743,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.5402,                 1.1899,                 1.5046,                0.39251,                0.40922,                0.31487,                 0.1276,                  2.145,                 1.7514,                 1.9561,             0.00037974,             0.00037974,             0.00037974
                     42,                 1.5019,                 1.1352,                 1.4812,                0.41108,                0.36881,                0.29941,                0.11747,                 2.1763,                 1.7705,                 1.9896,             0.00034674,             0.00034674,             0.00034674
                     43,                 1.4702,                 1.0904,                 1.4609,                0.39046,                 0.3762,                0.28346,                0.11204,                 2.2199,                 1.7942,                  2.035,             0.00031373,             0.00031373,             0.00031373
                     44,                 1.4526,                 1.0603,                 1.4453,                0.35793,                0.41302,                0.29428,                0.11194,                 2.2288,                 1.7835,                 2.0469,             0.00028072,             0.00028072,             0.00028072
                     45,                 1.4251,                 1.0352,                 1.4344,                 0.3931,                0.36055,                0.29237,                0.11303,                  2.247,                 1.7951,                 2.0811,             0.00024772,             0.00024772,             0.00024772
                     46,                 1.3975,                0.99419,                 1.4186,                0.39552,                0.35009,                0.28895,                0.11118,                 2.2164,                 1.7919,                 2.0672,             0.00021471,             0.00021471,             0.00021471
                     47,                 1.3893,                0.96235,                 1.4038,                0.40205,                0.36428,                0.28144,                0.10951,                 2.3157,                 1.7703,                 2.1268,              0.0001817,              0.0001817,              0.0001817
                     48,                 1.3624,                 0.9442,                 1.3901,                0.38017,                0.37149,                0.28929,                0.11083,                 2.2853,                 1.7817,                  2.149,              0.0001487,              0.0001487,              0.0001487
                     49,                 1.3411,                0.90784,                 1.3725,                0.36659,                0.38985,                0.28358,                0.10805,                 2.3035,                 1.7724,                 2.1327,             0.00011569,             0.00011569,             0.00011569
