                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1084,                 2.4845,                 1.7646,                  0.279,                0.30483,                0.21043,                0.07665,                 2.2368,                 2.1549,                 1.8214,             0.00055238,             0.00055238,             0.00055238
                      1,                 2.0122,                 1.9336,                 1.7176,                0.31367,                0.32008,                0.22976,                0.07925,                 2.2572,                 2.2099,                 1.8758,              0.0010861,              0.0010861,              0.0010861
                      2,                 2.0067,                 1.9157,                 1.7115,                 0.2557,                0.30548,                0.22193,                0.08525,                 2.2423,                 2.2113,                 1.9541,              0.0015978,              0.0015978,              0.0015978
                      3,                 2.0097,                 1.8954,                 1.7107,                0.30457,                0.31202,                0.22024,                0.07007,                 2.3455,                 2.1322,                 1.9437,               0.001568,               0.001568,               0.001568
                      4,                 1.9806,                 1.8716,                  1.678,                0.27573,                0.29544,                 0.1854,                0.06967,                 2.2742,                 2.2935,                 1.8705,               0.001568,               0.001568,               0.001568
                      5,                 1.9453,                 1.8353,                 1.6752,                0.32625,                0.33131,                0.25089,                0.08753,                  2.247,                 2.0276,                 1.8745,               0.001535,               0.001535,               0.001535
                      6,                 1.9104,                 1.8124,                  1.648,                 0.3705,                0.35032,                 0.2712,                0.10142,                 2.1829,                 2.0347,                 1.8427,               0.001502,               0.001502,               0.001502
                      7,                 1.9182,                 1.8015,                 1.6524,                0.38165,                0.32078,                0.27588,                0.10209,                 2.2042,                 1.9559,                 1.8209,               0.001469,               0.001469,               0.001469
                      8,                  1.885,                 1.7686,                 1.6394,                0.31663,                0.25964,                0.21973,                0.08056,                 2.2284,                 2.2769,                 1.8484,               0.001436,               0.001436,               0.001436
                      9,                 1.8737,                 1.7512,                 1.6253,                0.33396,                0.32552,                0.26265,                0.09506,                 2.1733,                 1.9152,                 1.8018,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.8616,                 1.7369,                 1.6123,                0.34655,                0.35978,                0.28124,                0.10691,                 2.0934,                 1.9024,                  1.774,              0.0013699,              0.0013699,              0.0013699
                     11,                  1.852,                 1.7231,                 1.5982,                0.31248,                0.35453,                0.24157,                0.09037,                 2.1654,                 1.9609,                 1.8104,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.8541,                 1.7185,                 1.5982,                0.32278,                0.36135,                0.29367,                0.11141,                 2.0525,                  1.885,                 1.7566,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.8306,                 1.7052,                 1.5847,                0.39451,                0.32261,                0.29795,                0.11972,                  2.034,                 1.9254,                 1.7436,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.8212,                 1.6905,                 1.5834,                0.33878,                0.39027,                0.29761,                0.11297,                 2.0856,                 1.9426,                 1.7579,              0.0012379,              0.0012379,              0.0012379
                     15,                  1.813,                 1.6729,                 1.5792,                0.37673,                0.36449,                0.30065,                0.12235,                 2.0049,                 1.9065,                  1.698,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.8001,                 1.6488,                 1.5638,                0.43003,                0.35514,                0.32865,                0.12813,                 2.0582,                 1.8277,                 1.7383,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.7979,                 1.6428,                 1.5565,                0.43273,                0.31963,                0.31865,                0.12359,                 2.0345,                 1.8775,                 1.7354,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.7806,                  1.641,                 1.5455,                0.39077,                0.33919,                0.30003,                0.12082,                 2.0395,                  1.963,                 1.7176,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.7691,                 1.6002,                 1.5393,                0.36332,                0.37766,                0.29471,                0.11225,                 2.0762,                 1.8702,                 1.7522,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.7753,                 1.6172,                 1.5528,                0.41525,                0.34483,                0.30744,                0.11804,                  2.115,                  1.841,                 1.8029,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.7392,                  1.583,                 1.5255,                0.40807,                0.38339,                0.33919,                0.13501,                  2.056,                 1.8096,                 1.7155,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.7434,                 1.5749,                 1.5209,                0.39342,                0.36183,                0.32079,                 0.1272,                 2.0608,                 1.8519,                 1.7293,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.7211,                 1.5586,                  1.519,                0.39101,                0.38139,                0.32776,                0.13315,                   2.04,                 1.8002,                 1.7142,             0.00094085,             0.00094085,             0.00094085
