                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0702,                 2.2014,                 1.7827,                0.24765,                0.29997,                0.17391,                0.06033,                 2.3748,                 2.5155,                 2.0415,             0.00055238,             0.00055238,             0.00055238
                      1,                 2.0127,                 1.9045,                 1.7514,                0.30307,                0.31144,                0.20756,                0.07089,                 2.3383,                 2.3003,                 2.0649,              0.0010971,              0.0010971,              0.0010971
                      2,                 2.0345,                 1.9007,                  1.769,                0.26578,                0.24405,                 0.1822,                0.06426,                 2.3874,                 2.3939,                 2.0411,              0.0016308,              0.0016308,              0.0016308
                      3,                 2.0197,                   1.88,                 1.7467,                0.31816,                0.35107,                0.25935,                0.08886,                 2.2846,                 2.1095,                  1.963,              0.0016175,              0.0016175,              0.0016175
                      4,                 1.9718,                 1.8397,                 1.7088,                0.34208,                0.32717,                0.25847,                 0.0987,                 2.1567,                 2.2208,                 1.8829,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.9339,                 1.8197,                 1.6984,                0.35724,                0.32153,                0.25465,                0.09062,                  2.302,                 2.0198,                 1.9078,               0.001601,               0.001601,               0.001601
                      6,                 1.9045,                 1.7858,                 1.6733,                0.35163,                0.36077,                0.26871,                0.09821,                 2.2605,                  1.966,                 1.9439,              0.0015845,              0.0015845,              0.0015845
                      7,                  1.912,                 1.7676,                 1.6746,                0.31398,                0.33847,                 0.2542,                0.09941,                 2.1237,                 1.9802,                 1.8391,               0.001568,               0.001568,               0.001568
                      8,                 1.8844,                 1.7469,                 1.6644,                0.38422,                0.36676,                0.29861,                0.10869,                 2.1669,                 1.9468,                 1.8917,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.8705,                 1.7161,                 1.6432,                0.29572,                0.36694,                0.25817,                0.09622,                 2.1798,                 1.9949,                 1.8479,               0.001535,               0.001535,               0.001535
