                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0105,                 2.0089,                 1.7238,                0.43061,                0.27124,                0.26078,                0.08457,                 2.4109,                 2.0962,                 2.0491,             0.00055434,             0.00055434,             0.00055434
                      1,                 1.9935,                 1.8191,                  1.688,                0.31614,                0.29055,                0.19938,                0.07377,                  2.372,                 2.8331,                 1.9387,             0.00083528,             0.00083528,             0.00083528
                      2,                 1.9224,                 1.7156,                 1.6385,                0.42237,                0.31155,                0.28248,                0.11466,                 2.2029,                 1.9227,                  1.829,             0.00084117,             0.00084117,             0.00084117
                      3,                 1.8188,                 1.5782,                 1.5721,                0.41016,                 0.3927,                0.36549,                0.15276,                 2.1288,                 1.6895,                 1.7372,             0.00042925,             0.00042925,             0.00042925
