                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1372,                 2.4831,                 1.8741,                0.30856,                0.32223,                 0.2369,                0.08651,                 2.2237,                 2.1221,                 1.8859,              0.0033136,              0.0033136,              0.0033136
                      2,                 1.9118,                 1.8525,                 1.6898,                0.29648,                0.37829,                0.27059,                0.09822,                 2.1617,                 1.9469,                 1.9041,               0.006625,               0.006625,               0.006625
                      3,                 1.9253,                 1.8347,                 1.6547,                0.31571,                0.23027,                0.19779,                0.07667,                 2.1444,                 2.1689,                 1.8169,              0.0099144,              0.0099144,              0.0099144
                      4,                 1.9765,                 1.8469,                 1.6769,                0.34858,                0.24394,                0.19848,                0.06739,                 2.3065,                 2.5169,                 1.8804,               0.009901,               0.009901,               0.009901
                      5,                 1.9733,                 1.8434,                 1.6713,                0.32504,                0.20828,                0.15085,                0.05418,                 2.3262,                 2.3624,                 1.8496,               0.009901,               0.009901,               0.009901
                      6,                 1.9534,                 1.8065,                 1.6659,                0.26627,                0.26003,                0.19285,                0.07178,                 2.2724,                 2.4396,                 1.8267,               0.009868,               0.009868,               0.009868
                      7,                 1.9097,                 1.7745,                 1.6311,                0.28846,                0.31694,                0.21598,                  0.083,                 2.2666,                 2.0668,                  1.849,               0.009835,               0.009835,               0.009835
                      8,                 1.9107,                 1.7789,                 1.6346,                 0.3241,                0.31111,                0.26682,                0.10131,                 2.1362,                 2.0244,                 1.7763,               0.009802,               0.009802,               0.009802
                      9,                 1.8854,                 1.7375,                 1.6178,                0.34728,                 0.3354,                0.26668,                0.10237,                 2.1711,                 1.8963,                 1.7612,               0.009769,               0.009769,               0.009769
                     10,                 1.8696,                 1.7054,                 1.6029,                0.35326,                0.30047,                0.25079,                0.09662,                 2.1326,                 2.0288,                  1.707,               0.009736,               0.009736,               0.009736
                     11,                  1.855,                 1.6926,                  1.595,                0.34204,                 0.3647,                0.28936,                 0.1134,                 2.0712,                 1.8785,                 1.7581,               0.009703,               0.009703,               0.009703
                     12,                 1.8369,                 1.6684,                 1.5933,                0.35614,                0.36398,                0.27515,                0.11021,                 2.0625,                 1.8626,                 1.7338,                0.00967,                0.00967,                0.00967
                     13,                 1.8365,                 1.6675,                 1.5873,                0.41365,                0.39199,                0.32653,                0.12553,                 2.0577,                 1.8654,                 1.7429,               0.009637,               0.009637,               0.009637
                     14,                 1.8191,                 1.6467,                 1.5724,                 0.3739,                0.35872,                0.29875,                0.11895,                  2.076,                 1.8725,                 1.6889,               0.009604,               0.009604,               0.009604
                     15,                 1.8102,                 1.6279,                  1.558,                0.36444,                0.37109,                0.30404,                0.12107,                 2.0974,                 1.9214,                  1.728,               0.009571,               0.009571,               0.009571
                     16,                 1.7913,                 1.6174,                 1.5653,                0.38564,                0.39207,                0.31307,                0.12502,                 2.0364,                 1.8199,                 1.7288,               0.009538,               0.009538,               0.009538
