                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.695,                 1.4846,                  1.475,                0.40997,                0.35521,                0.31685,                0.12438,                 2.0619,                 1.8151,                 1.7216,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.6891,                  1.481,                 1.4825,                0.36074,                  0.366,                 0.2859,                0.11057,                 2.1026,                 1.8355,                  1.716,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.6912,                 1.4741,                 1.4757,                0.34885,                0.36983,                0.27521,                0.11029,                 2.0757,                 1.8856,                  1.721,              0.0010894,              0.0010894,              0.0010894
                     38,                  1.696,                 1.4522,                 1.4732,                0.38017,                0.34834,                0.28559,                0.11519,                 2.0737,                 1.8989,                 1.7373,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.6775,                 1.4604,                 1.4729,                0.42623,                0.32065,                0.29594,                0.11434,                 2.1514,                   1.85,                 1.7243,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.6817,                 1.4403,                 1.4684,                0.38851,                0.36503,                 0.3115,                 0.1232,                 2.0844,                 1.8178,                 1.7165,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.6756,                 1.4396,                  1.461,                0.43999,                0.35841,                0.31943,                0.12464,                 2.0943,                 1.8027,                 1.7459,              0.0010234,              0.0010234,              0.0010234
                     42,                  1.661,                   1.42,                 1.4517,                0.43084,                0.32853,                0.30477,                0.11946,                 2.1148,                 1.8628,                 1.7564,              0.0010069,              0.0010069,              0.0010069
                     43,                  1.656,                 1.4208,                 1.4506,                 0.4227,                0.38209,                0.32492,                0.12659,                 2.1232,                 1.8203,                 1.7672,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.6533,                 1.4044,                 1.4465,                0.39746,                0.37674,                0.31287,                0.12281,                 2.0996,                 1.8438,                 1.7346,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.6518,                 1.3846,                 1.4378,                 0.4106,                0.34834,                0.29851,                0.11287,                  2.147,                 1.8595,                 1.7861,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.6449,                 1.3851,                 1.4497,                 0.3847,                  0.372,                0.29387,                0.11327,                 2.0905,                 1.8708,                 1.7535,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.6234,                 1.3643,                 1.4266,                0.36371,                0.34209,                0.28432,                0.11243,                 2.1245,                 1.8554,                 1.7517,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.6375,                 1.3643,                 1.4349,                0.35597,                0.37524,                0.29864,                 0.1156,                 2.1463,                  1.892,                 1.7514,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.6186,                 1.3571,                 1.4242,                0.41044,                0.36093,                0.30524,                0.11622,                 2.1382,                 1.8658,                 1.7751,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.6242,                 1.3428,                 1.4274,                 0.4059,                0.35639,                0.30136,                0.11691,                 2.1378,                 1.8644,                 1.7772,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.6062,                 1.3358,                 1.4187,                0.39544,                0.37605,                0.31298,                0.11985,                 2.1042,                 1.8386,                 1.7756,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.6048,                 1.3393,                 1.4177,                0.36838,                0.38186,                0.29967,                 0.1148,                 2.1434,                 1.8209,                 1.7937,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.6039,                 1.3256,                 1.4161,                0.41417,                  0.364,                0.30302,                0.11688,                 2.1456,                 1.8438,                 1.7961,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.5978,                 1.3073,                 1.4072,                0.40986,                0.35588,                0.31703,                0.12261,                 2.1271,                 1.8352,                  1.777,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.5903,                 1.2901,                 1.4021,                0.40188,                0.32479,                0.28161,                0.10783,                 2.2053,                  1.848,                   1.82,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.6001,                  1.292,                 1.4006,                0.40084,                0.37962,                0.32595,                0.12914,                 2.1112,                  1.785,                 1.7326,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.5888,                 1.2861,                 1.3938,                0.44354,                0.36434,                0.31811,                0.12471,                 2.1318,                 1.8082,                 1.7793,             0.00075932,             0.00075932,             0.00075932
                     58,                  1.583,                 1.2842,                  1.394,                0.40963,                0.36603,                0.31534,                0.12212,                 2.1517,                 1.8368,                  1.805,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.5798,                 1.2762,                 1.3929,                0.38626,                0.33201,                0.28419,                0.10868,                 2.1886,                 1.8786,                 1.8171,             0.00072631,             0.00072631,             0.00072631
                     60,                 1.5646,                 1.2507,                 1.3805,                0.37179,                0.38224,                0.29503,                0.11536,                 2.1815,                 1.8236,                 1.8082,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.5732,                 1.2547,                 1.3866,                0.37919,                0.38843,                0.30675,                0.11784,                 2.1585,                 1.7821,                 1.8013,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.5602,                 1.2376,                 1.3768,                0.36841,                0.37835,                0.29836,                0.11172,                 2.2013,                 1.8301,                 1.8434,              0.0006768,              0.0006768,              0.0006768
