                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0621,                 2.1504,                 1.8304,                0.16841,                0.24256,                0.13106,                0.04786,                 2.4958,                 2.8895,                 2.1701,             0.00055238,             0.00055238,             0.00055238
                      1,                 2.0507,                 1.9527,                 1.8126,                0.21306,                0.30345,                0.18115,                0.05804,                 2.4332,                 2.8496,                 2.1675,              0.0010971,              0.0010971,              0.0010971
                      2,                 2.0519,                 1.9491,                 1.8208,                0.23326,                0.24195,                0.18505,                0.06771,                 2.3073,                 2.3557,                  1.997,              0.0016308,              0.0016308,              0.0016308
                      3,                 2.0358,                 1.9266,                 1.7975,                0.31591,                  0.296,                0.20361,                0.07002,                 2.3354,                 2.1793,                 2.0202,              0.0016175,              0.0016175,              0.0016175
                      4,                 1.9815,                 1.8915,                 1.7492,                 0.2845,                 0.3038,                0.23346,                0.08582,                  2.242,                 2.2156,                 1.9984,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.9522,                 1.8439,                 1.7331,                0.31533,                0.30646,                0.22885,                0.07727,                 2.3062,                 2.1217,                 1.9452,               0.001601,               0.001601,               0.001601
                      6,                 1.9151,                 1.8131,                 1.7035,                0.29215,                0.30687,                0.21752,                0.08099,                  2.263,                 2.1473,                 1.9532,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.9164,                 1.7993,                  1.695,                0.36392,                0.30305,                0.27352,                0.10782,                 2.1807,                 1.9683,                 1.8728,               0.001568,               0.001568,               0.001568
                      8,                  1.882,                 1.7685,                 1.6824,                0.35625,                0.36624,                0.28041,                0.10416,                 2.1911,                 1.9312,                 1.9147,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.8823,                 1.7413,                 1.6767,                0.33336,                0.34351,                0.27335,                0.10537,                 2.1295,                 2.0017,                  1.883,               0.001535,               0.001535,               0.001535
                     10,                 1.8625,                  1.731,                 1.6578,                0.34553,                0.33708,                0.28715,                0.10608,                 2.1324,                  1.899,                 1.8365,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.8334,                 1.7066,                 1.6488,                0.32605,                0.35578,                0.27555,                0.10286,                 2.1545,                 1.9467,                 1.8606,               0.001502,               0.001502,               0.001502
                     12,                 1.8444,                 1.6969,                 1.6463,                0.34603,                0.36331,                0.29226,                0.10397,                 2.1513,                 1.8867,                 1.8576,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.8249,                 1.6929,                 1.6436,                0.40196,                0.36361,                0.32981,                0.12242,                 2.1025,                 1.8369,                 1.8401,               0.001469,               0.001469,               0.001469
                     14,                 1.8137,                 1.6657,                  1.634,                0.35095,                0.35039,                0.27976,                0.10838,                 2.1508,                 1.8833,                 1.8599,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.7974,                 1.6635,                 1.6254,                0.36685,                0.35353,                0.29737,                0.11287,                 2.1192,                 1.8664,                 1.8559,               0.001436,               0.001436,               0.001436
                     16,                  1.802,                 1.6273,                 1.6147,                0.39097,                0.37539,                0.30563,                0.11657,                 2.0391,                  1.817,                   1.83,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.7887,                 1.6297,                 1.6163,                0.34424,                 0.3666,                0.28882,                 0.1147,                 2.1017,                 1.8741,                 1.8478,              0.0014029,              0.0014029,              0.0014029
                     18,                   1.77,                 1.6157,                 1.5961,                0.40229,                0.33936,                0.30182,                0.11661,                 2.0524,                 1.8768,                 1.7783,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.7526,                 1.5644,                  1.589,                0.37943,                0.35178,                0.29165,                0.11048,                 2.1042,                 1.9693,                 1.8417,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.7565,                 1.5891,                 1.5949,                 0.3789,                0.36944,                0.29895,                0.11557,                 2.0748,                 1.9376,                  1.844,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.7317,                 1.5458,                 1.5813,                0.38336,                0.38064,                0.31543,                 0.1268,                 2.0259,                 1.8193,                 1.7951,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.7254,                 1.5454,                 1.5607,                0.41556,                0.41932,                0.33993,                0.13237,                 2.0081,                 1.8056,                 1.7697,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.7033,                 1.5192,                 1.5584,                 0.3665,                0.37422,                0.29994,                0.11888,                 2.0593,                 1.8736,                 1.8205,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.7169,                  1.533,                 1.5758,                 0.3642,                0.39607,                0.31276,                0.12797,                 2.0454,                 1.8379,                 1.8241,              0.0012874,              0.0012874,              0.0012874
                     25,                  1.701,                 1.5055,                 1.5622,                0.30629,                0.40592,                0.28308,                0.11066,                 2.0833,                 1.9239,                  1.852,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.7119,                 1.4764,                 1.5651,                0.38705,                0.37452,                0.31886,                0.12886,                  2.031,                 1.8073,                 1.8211,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.6805,                 1.4637,                 1.5457,                0.39748,                0.35194,                0.31493,                0.12532,                 2.0986,                  1.897,                 1.8416,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.6898,                 1.4677,                 1.5542,                0.38858,                0.34694,                0.29206,                0.11371,                 2.0319,                 2.0466,                 1.8202,              0.0012214,              0.0012214,              0.0012214
                     29,                  1.662,                 1.4367,                 1.5375,                0.33862,                0.37506,                0.30029,                0.11683,                 2.0545,                 1.8388,                 1.7841,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.6392,                 1.4089,                 1.5184,                0.42011,                0.38266,                  0.332,                0.13439,                 2.0415,                 1.7913,                  1.809,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.6482,                 1.4138,                 1.5341,                 0.4349,                0.35913,                0.32889,                0.13255,                 2.0577,                 1.7458,                 1.8401,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.6271,                 1.3843,                 1.5014,                0.38777,                0.37543,                0.31476,                0.12255,                 2.0886,                 1.8067,                 1.8649,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.6275,                 1.3774,                  1.513,                0.39683,                 0.3682,                0.31416,                0.12743,                 2.0356,                 1.8147,                 1.8248,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.6156,                 1.3435,                 1.5028,                0.39286,                0.39483,                0.31245,                0.12153,                 2.0678,                 1.8011,                 1.8289,              0.0011224,              0.0011224,              0.0011224
